DATE,CAPUTLG2211S
1995-03-01,89.6696
1995-04-01,90.3013
1995-05-01,90.9549
1995-06-01,90.6969
1995-07-01,91.3249
1995-08-01,95.7349
1995-09-01,90.9361
1995-10-01,91.6302
1995-11-01,91.2176
1995-12-01,91.6562
1996-01-01,92.6910
1996-02-01,93.6859
1996-03-01,93.3414
1996-04-01,92.4145
1996-05-01,93.6831
1996-06-01,92.7327
1996-07-01,89.5858
1996-08-01,90.6623
1996-09-01,89.8239
1996-10-01,90.6731
1996-11-01,91.9081
1996-12-01,91.1716
1997-01-01,92.3697
1997-02-01,91.2620
1997-03-01,89.8922
1997-04-01,91.4240
1997-05-01,88.5767
1997-06-01,89.2836
1997-07-01,91.7755
1997-08-01,91.6487
1997-09-01,92.9448
1997-10-01,94.6236
1997-11-01,93.8147
1997-12-01,93.8015
1998-01-01,90.9333
1998-02-01,92.0479
1998-03-01,94.7493
1998-04-01,93.9636
1998-05-01,96.3243
1998-06-01,97.5552
1998-07-01,97.0323
1998-08-01,96.7770
1998-09-01,99.0867
1998-10-01,98.4755
1998-11-01,95.5728
1998-12-01,95.8013
1999-01-01,96.7287
1999-02-01,95.6720
1999-03-01,98.0843
1999-04-01,97.2085
1999-05-01,96.2831
1999-06-01,97.6374
1999-07-01,99.9888
1999-08-01,98.4319
1999-09-01,97.1046
1999-10-01,96.3956
1999-11-01,96.3050
1999-12-01,96.9544
2000-01-01,96.4799
2000-02-01,97.0734
2000-03-01,95.4434
2000-04-01,96.2182
2000-05-01,99.5014
2000-06-01,97.5890
2000-07-01,94.1574
2000-08-01,96.3519
2000-09-01,96.3901
2000-10-01,95.3154
2000-11-01,97.5922
2000-12-01,99.3826
2001-01-01,97.5890
2001-02-01,95.4312
2001-03-01,94.2147
2001-04-01,93.6398
2001-05-01,92.5198
2001-06-01,92.4180
2001-07-01,89.9782
2001-08-01,92.1374
2001-09-01,89.3838
2001-10-01,89.6882
2001-11-01,88.5633
2001-12-01,86.6699
2002-01-01,88.1141
2002-02-01,87.9148
2002-03-01,89.3595
2002-04-01,90.9134
2002-05-01,89.4618
2002-06-01,89.3163
2002-07-01,90.0940
2002-08-01,87.6555
2002-09-01,89.1186
2002-10-01,88.9834
2002-11-01,87.7121
2002-12-01,86.8780
2003-01-01,88.2615
2003-02-01,89.3514
2003-03-01,86.5715
2003-04-01,86.4697
2003-05-01,86.0066
2003-06-01,83.4298
2003-07-01,85.9804
2003-08-01,86.3571
2003-09-01,85.1740
2003-10-01,85.3074
2003-11-01,85.5667
2003-12-01,86.3306
2004-01-01,87.2551
2004-02-01,87.6230
2004-03-01,85.2819
2004-04-01,86.0186
2004-05-01,87.6841
2004-06-01,85.4366
2004-07-01,83.6268
2004-08-01,81.0972
2004-09-01,84.7679
2004-10-01,85.0408
2004-11-01,85.0347
2004-12-01,86.4635
2005-01-01,85.0002
2005-02-01,84.0632
2005-03-01,86.0646
2005-04-01,84.5698
2005-05-01,83.6696
2005-06-01,87.0768
2005-07-01,87.1575
2005-08-01,86.9382
2005-09-01,88.5642
2005-10-01,87.1630
2005-11-01,85.9804
2005-12-01,87.6492
2006-01-01,82.2054
2006-02-01,84.4438
2006-03-01,86.0831
2006-04-01,85.7233
2006-05-01,86.7257
2006-06-01,86.6195
2006-07-01,87.9202
