DATE,IPG21222S
1999-05-01,148.9031
1999-06-01,147.9819
1999-07-01,143.9705
1999-08-01,144.9428
1999-09-01,145.1218
1999-10-01,147.7745
1999-11-01,153.3965
1999-12-01,147.2393
2000-01-01,160.6795
2000-02-01,159.2653
2000-03-01,162.1270
2000-04-01,158.5165
2000-05-01,149.8796
2000-06-01,151.1242
2000-07-01,147.7191
2000-08-01,156.2165
2000-09-01,155.7736
2000-10-01,144.2026
2000-11-01,132.6782
2000-12-01,147.9945
2001-01-01,154.7089
2001-02-01,153.1641
2001-03-01,142.0541
2001-04-01,149.4660
2001-05-01,150.0393
2001-06-01,147.0273
2001-07-01,142.6951
2001-08-01,140.5072
2001-09-01,132.0401
2001-10-01,147.1245
2001-11-01,134.4753
2001-12-01,138.8596
2002-01-01,114.7608
2002-02-01,125.6751
2002-03-01,130.4390
2002-04-01,143.7597
2002-05-01,126.0791
2002-06-01,127.5777
2002-07-01,127.9357
2002-08-01,124.5020
2002-09-01,129.1641
2002-10-01,132.4430
2002-11-01,123.3658
2002-12-01,128.3269
2003-01-01,124.9329
2003-02-01,125.1269
2003-03-01,115.7969
2003-04-01,113.0903
2003-05-01,116.8411
2003-06-01,125.9753
2003-07-01,126.6818
2003-08-01,120.4636
2003-09-01,121.4878
2003-10-01,121.3702
2003-11-01,116.2349
2003-12-01,97.4578
2004-01-01,112.9119
2004-02-01,108.2992
2004-03-01,124.8560
2004-04-01,105.6895
2004-05-01,116.4103
2004-06-01,113.1170
2004-07-01,111.4776
2004-08-01,107.6055
2004-09-01,108.8944
2004-10-01,101.3778
2004-11-01,110.7254
2004-12-01,109.2032
2005-01-01,108.4678
2005-02-01,107.3014
2005-03-01,121.7403
2005-04-01,114.4537
2005-05-01,106.3725
2005-06-01,107.0381
2005-07-01,108.6728
2005-08-01,118.2360
2005-09-01,114.1511
2005-10-01,108.8011
2005-11-01,104.3682
2005-12-01,100.3299
2006-01-01,104.9596
2006-02-01,110.1329
2006-03-01,113.7691
2006-04-01,111.6042
2006-05-01,105.0241
2006-06-01,100.0227
2006-07-01,103.1928
2006-08-01,101.7515
2006-09-01,103.4460
2006-10-01,115.9238
2006-11-01,112.0277
2006-12-01,115.8553
2007-01-01,105.6854
2007-02-01,112.4650
2007-03-01,93.5818
2007-04-01,105.8592
2007-05-01,109.0541
2007-06-01,104.5038
2007-07-01,98.8109
2007-08-01,102.4016
2007-09-01,99.8283
2007-10-01,95.3482
2007-11-01,104.1502
2007-12-01,99.8557
2008-01-01,97.1568
2008-02-01,92.5968
2008-03-01,93.7030
2008-04-01,90.4955
2008-05-01,97.9050
2008-06-01,104.8898
2008-07-01,107.1886
2008-08-01,97.6915
2008-09-01,102.0567
2008-10-01,106.6824
2008-11-01,104.4554
2008-12-01,110.7348
2009-01-01,97.8208
2009-02-01,98.7155
2009-03-01,102.5930
2009-04-01,103.3105
2009-05-01,99.0684
2009-06-01,95.6117
2009-07-01,92.5762
2009-08-01,97.8809
2009-09-01,94.1269
2009-10-01,94.3044
2009-11-01,93.3980
2009-12-01,86.7104
2010-01-01,104.6904
2010-02-01,101.3311
2010-03-01,100.9930
2010-04-01,100.5754
2010-05-01,93.3130
2010-06-01,100.8596
2010-07-01,106.7944
2010-08-01,104.0874
2010-09-01,106.2128
2010-10-01,96.6795
2010-11-01,97.4601
2010-12-01,82.0493
2011-01-01,106.3954
2011-02-01,100.2100
2011-03-01,101.0120
2011-04-01,100.6991
2011-05-01,104.8129
2011-06-01,101.6522
2011-07-01,96.6245
2011-08-01,98.1789
2011-09-01,98.3869
2011-10-01,98.6854
2011-11-01,95.5807
2011-12-01,97.9000
2012-01-01,103.3864
2012-02-01,101.3439
2012-03-01,98.2955
2012-04-01,98.9540
2012-05-01,98.1488
2012-06-01,100.9721
2012-07-01,99.4651
2012-08-01,95.7604
2012-09-01,96.5395
2012-10-01,103.3996
2012-11-01,104.6564
2012-12-01,99.0783
2013-01-01,97.8017
2013-02-01,98.9136
2013-03-01,99.1332
2013-04-01,99.9354
2013-05-01,99.5938
2013-06-01,97.2092
2013-07-01,98.4040
2013-08-01,99.0137
2013-09-01,96.5252
2013-10-01,95.0186
2013-11-01,96.3467
2013-12-01,96.8031
2014-01-01,95.1042
2014-02-01,93.8141
2014-03-01,91.8105
2014-04-01,92.1915
2014-05-01,91.5547
2014-06-01,88.4374
2014-07-01,97.4556
2014-08-01,91.8039
2014-09-01,90.1020
2014-10-01,81.6224
2014-11-01,84.8930
2014-12-01,89.6342
2015-01-01,90.4451
2015-02-01,88.6214
2015-03-01,84.8382
2015-04-01,85.5672
2015-05-01,85.1943
2015-06-01,88.7840
2015-07-01,100.2145
2015-08-01,94.9551
2015-09-01,98.7316
2015-10-01,96.7952
2015-11-01,95.6658
2015-12-01,92.8071
2016-01-01,91.2743
2016-02-01,96.9092
2016-03-01,99.3279
2016-04-01,95.8547
2016-05-01,97.1167
2016-06-01,100.1610
2016-07-01,96.1285
2016-08-01,97.6634
2016-09-01,94.4506
2016-10-01,104.8749
2016-11-01,98.4258
2016-12-01,100.4022
2017-01-01,101.7498
2017-02-01,93.8297
2017-03-01,104.4856
2017-04-01,121.9836
2017-05-01,109.3563
2017-06-01,104.4286
2017-07-01,96.0616
2017-08-01,90.2850
2017-09-01,99.4016
2017-10-01,94.6351
2017-11-01,97.7291
2017-12-01,95.4237
2018-01-01,94.0943
2018-02-01,86.7339
2018-03-01,89.0964
2018-04-01,91.6606
2018-05-01,84.5408
2018-06-01,82.8516
2018-07-01,86.3527
2018-08-01,84.1353
2018-09-01,84.9935
2018-10-01,89.7602
2018-11-01,94.5504
2018-12-01,92.4648
2019-01-01,95.8280
2019-02-01,88.1850
2019-03-01,86.8728
2019-04-01,92.3138
2019-05-01,89.0457
2019-06-01,86.1610
2019-07-01,89.1033
2019-08-01,82.1606
2019-09-01,85.0081
2019-10-01,88.7974
2019-11-01,88.8338
2019-12-01,84.2008
2020-01-01,96.8362
2020-02-01,95.0737
