DATE,IPN31152N
1999-05-01,116.2802
1999-06-01,128.8553
1999-07-01,122.1347
1999-08-01,119.6529
1999-09-01,103.5391
1999-10-01,92.1367
1999-11-01,84.3381
1999-12-01,79.5262
2000-01-01,93.3510
2000-02-01,111.2944
2000-03-01,125.0698
2000-04-01,136.5341
2000-05-01,135.6032
2000-06-01,150.1199
2000-07-01,145.4325
2000-08-01,131.8293
2000-09-01,117.1805
2000-10-01,113.7341
2000-11-01,92.6327
2000-12-01,88.5149
2001-01-01,101.3750
2001-02-01,115.9745
2001-03-01,122.6815
2001-04-01,134.3882
2001-05-01,131.9872
2001-06-01,148.4196
2001-07-01,141.4769
2001-08-01,134.7753
2001-09-01,128.6196
2001-10-01,115.1136
2001-11-01,105.0913
2001-12-01,104.6018
2002-01-01,120.9601
2002-02-01,143.6813
2002-03-01,155.2061
2002-04-01,169.2145
2002-05-01,165.2011
2002-06-01,188.8447
2002-07-01,173.2341
2002-08-01,163.2352
2002-09-01,150.6134
2002-10-01,136.7560
2002-11-01,114.5562
2002-12-01,105.6179
2003-01-01,125.2497
2003-02-01,142.3906
2003-03-01,144.6613
2003-04-01,151.4035
2003-05-01,147.3393
2003-06-01,162.8491
2003-07-01,146.1043
2003-08-01,141.1325
2003-09-01,126.7308
2003-10-01,115.8376
2003-11-01,106.6816
2003-12-01,93.5263
2004-01-01,104.1156
2004-02-01,126.0228
2004-03-01,140.4459
2004-04-01,148.6412
2004-05-01,150.4552
2004-06-01,169.0362
2004-07-01,157.2643
2004-08-01,153.5255
2004-09-01,144.4268
2004-10-01,139.5258
2004-11-01,120.5195
2004-12-01,111.2821
2005-01-01,130.2719
2005-02-01,148.1976
2005-03-01,159.2750
2005-04-01,171.8314
2005-05-01,169.9522
2005-06-01,196.1737
2005-07-01,190.2501
2005-08-01,179.2849
2005-09-01,153.7389
2005-10-01,144.2127
2005-11-01,122.2164
2005-12-01,106.9509
2006-01-01,130.8295
2006-02-01,144.3001
2006-03-01,156.3691
2006-04-01,167.7272
2006-05-01,159.9362
2006-06-01,182.6261
2006-07-01,176.0375
2006-08-01,164.2845
